Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-07-16&team=Braves&dh=0"">2016-07-16</a>",ATL,COL,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-15&team=Braves&dh=0"">2016-07-15</a>",ATL,COL,3,1B,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-07-10&team=Braves&dh=0"">2016-07-10</a>",ATL,@CHW,3,1B,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-09&team=Braves&dh=0"">2016-07-09</a>",ATL,@CHW,3,1B,1,3,4,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-08&team=Braves&dh=0"">2016-07-08</a>",ATL,@CHW,3,1B,1,4,5,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-07&team=Braves&dh=0"">2016-07-07</a>",ATL,@CHC,3,1B,1,4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-06&team=Braves&dh=0"">2016-07-06</a>",ATL,@PHI,3,1B,1,3,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-05&team=Braves&dh=0"">2016-07-05</a>",ATL,@PHI,3,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-04&team=Braves&dh=0"">2016-07-04</a>",ATL,@PHI,3,1B,1,4,4,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-03&team=Braves&dh=0"">2016-07-03</a>",ATL,MIA,3,1B,1,3,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-07-02&team=Braves&dh=0"">2016-07-02</a>",ATL,MIA,3,1B,1,4,4,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-07-01&team=Braves&dh=0"">2016-07-01</a>",ATL,MIA,3,1B,1,6,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167
"<a href=""wins.aspx?date=2016-06-30&team=Braves&dh=0"">2016-06-30</a>",ATL,MIA,3,1B,1,3,5,2,1,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0.667
