Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-08-04&team=Tigers&dh=0"">2016-08-04</a>",DET,CHW,1,2B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-03&team=Tigers&dh=0"">2016-08-03</a>",DET,CHW,1,2B,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-02&team=Tigers&dh=0"">2016-08-02</a>",DET,CHW,1,2B,1,5,5,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-07-31&team=Tigers&dh=0"">2016-07-31</a>",DET,HOU,1,2B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-30&team=Tigers&dh=0"">2016-07-30</a>",DET,HOU,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-29&team=Tigers&dh=0"">2016-07-29</a>",DET,HOU,1,2B,1,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-27&team=Tigers&dh=0"">2016-07-27</a>",DET,@BOS,1,2B,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-26&team=Tigers&dh=0"">2016-07-26</a>",DET,@BOS,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-25&team=Tigers&dh=0"">2016-07-25</a>",DET,@BOS,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-24&team=Tigers&dh=0"">2016-07-24</a>",DET,@CHW,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-23&team=Tigers&dh=0"">2016-07-23</a>",DET,@CHW,1,2B,1,4,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-22&team=Tigers&dh=0"">2016-07-22</a>",DET,@CHW,1,2B,1,5,6,1,1,0,0,0,3,0,0,0,3,1,0,0,0,1,0,0.2
"<a href=""wins.aspx?date=2016-07-21&team=Tigers&dh=0"">2016-07-21</a>",DET,@CHW,1,2B,1,4,4,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-07-20&team=Tigers&dh=0"">2016-07-20</a>",DET,MIN,1,2B,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-19&team=Tigers&dh=0"">2016-07-19</a>",DET,MIN,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-18&team=Tigers&dh=0"">2016-07-18</a>",DET,MIN,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
