Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-06-29&team=Blue Jays&dh=0"">2016-06-29</a>",TOR,@COL,3,3B,1,4,5,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-28&team=Blue Jays&dh=0"">2016-06-28</a>",TOR,@COL,3,3B,1,5,6,2,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-06-27&team=Blue Jays&dh=0"">2016-06-27</a>",TOR,@COL,3,3B,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-26&team=Blue Jays&dh=0"">2016-06-26</a>",TOR,@CHW,2,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-06-25&team=Blue Jays&dh=0"">2016-06-25</a>",TOR,@CHW,3,DH,1,4,5,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-24&team=Blue Jays&dh=0"">2016-06-24</a>",TOR,@CHW,2,3B,1,4,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-22&team=Blue Jays&dh=0"">2016-06-22</a>",TOR,ARI,2,3B,1,3,4,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-06-21&team=Blue Jays&dh=0"">2016-06-21</a>",TOR,ARI,3,3B,1,3,4,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.667
"<a href=""wins.aspx?date=2016-06-19&team=Blue Jays&dh=0"">2016-06-19</a>",TOR,@BAL,2,DH,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-18&team=Blue Jays&dh=0"">2016-06-18</a>",TOR,@BAL,2,3B,1,5,5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.2
"<a href=""wins.aspx?date=2016-06-17&team=Blue Jays&dh=0"">2016-06-17</a>",TOR,@BAL,2,3B,1,4,5,2,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-16&team=Blue Jays&dh=0"">2016-06-16</a>",TOR,@PHI,2,3B,1,3,5,3,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-06-15&team=Blue Jays&dh=0"">2016-06-15</a>",TOR,@PHI,3,3B,1,4,5,2,1,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-06-14&team=Blue Jays&dh=0"">2016-06-14</a>",TOR,PHI,2,3B,1,4,5,3,0,2,0,1,3,5,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-06-13&team=Blue Jays&dh=0"">2016-06-13</a>",TOR,PHI,2,3B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-06-12&team=Blue Jays&dh=0"">2016-06-12</a>",TOR,BAL,2,DH,1,3,5,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-06-11&team=Blue Jays&dh=0"">2016-06-11</a>",TOR,BAL,2,3B,1,4,5,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-10&team=Blue Jays&dh=0"">2016-06-10</a>",TOR,BAL,2,3B,1,5,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0.2
"<a href=""wins.aspx?date=2016-06-09&team=Blue Jays&dh=0"">2016-06-09</a>",TOR,BAL,2,3B,1,4,5,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-08&team=Blue Jays&dh=0"">2016-06-08</a>",TOR,@DET,2,3B,1,4,4,3,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-06-07&team=Blue Jays&dh=0"">2016-06-07</a>",TOR,@DET,2,3B,1,2,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-06&team=Blue Jays&dh=0"">2016-06-06</a>",TOR,@DET,2,3B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-05&team=Blue Jays&dh=0"">2016-06-05</a>",TOR,@BOS,2,DH,1,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-03&team=Blue Jays&dh=0"">2016-06-03</a>",TOR,@BOS,2,3B,1,3,5,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-01&team=Blue Jays&dh=0"">2016-06-01</a>",TOR,NYY,2,3B,1,3,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-31&team=Blue Jays&dh=0"">2016-05-31</a>",TOR,NYY,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-30&team=Blue Jays&dh=0"">2016-05-30</a>",TOR,NYY,2,3B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-29&team=Blue Jays&dh=0"">2016-05-29</a>",TOR,BOS,2,3B,1,5,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-05-28&team=Blue Jays&dh=0"">2016-05-28</a>",TOR,BOS,2,3B,1,3,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-27&team=Blue Jays&dh=0"">2016-05-27</a>",TOR,BOS,2,3B,1,5,5,4,1,1,0,2,2,5,0,0,1,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-05-26&team=Blue Jays&dh=0"">2016-05-26</a>",TOR,@NYY,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-25&team=Blue Jays&dh=0"">2016-05-25</a>",TOR,@NYY,2,3B,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-24&team=Blue Jays&dh=0"">2016-05-24</a>",TOR,@NYY,2,3B,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"<a href=""wins.aspx?date=2016-05-22&team=Blue Jays&dh=0"">2016-05-22</a>",TOR,@MIN,2,3B,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-21&team=Blue Jays&dh=0"">2016-05-21</a>",TOR,@MIN,2,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-20&team=Blue Jays&dh=0"">2016-05-20</a>",TOR,@MIN,2,3B,1,5,5,2,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-05-19&team=Blue Jays&dh=0"">2016-05-19</a>",TOR,@MIN,2,3B,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0
